Font,casual,chic,classic,clear,cool,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic
"Pacifico, cursive",0,1,0,1,0,0,0,0,0,0,0,1,1
"Waiting for the Sunrise, cursive",1,0,0,0,0,0,0,0,0,0,0,0,0
"Tangerine, cursive",0,0,0,0,0,0,0,1,0,0,0,1,1
"Inconsolata",1,0,1,1,0,0,0,0,0,0,0,0,0
"Waiting for the Sunrise, cursive",1,0,1,0,0,0,0,0,0,0,0,0,0
"Roboto, san serif",0,0,0,0,0,0,0,0,0,1,0,0,0
"Lato, san serif",1,0,0,0,0,0,0,0,0,1,0,0,0
"Lobster, cursive",0,0,1,1,0,0,0,0,0,0,0,1,0
"Lobster, cursive",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lato, san serif",1,0,0,1,0,0,0,0,0,1,0,0,0
"Old Standard TT, serif",0,0,0,1,0,0,0,0,0,0,0,0,0
"Monoton, cursive",0,0,0,0,1,0,0,1,0,1,0,0,0
"Roboto, san serif",0,0,0,0,0,0,0,0,0,1,0,0,0
"Inconsolata",1,0,0,0,0,0,0,1,0,1,0,0,0
"Merriweather, serif",0,1,0,1,0,0,0,1,0,1,0,0,0
"Pacifico, cursive",0,0,1,0,0,0,0,0,0,1,0,1,1
"Lato, san serif",1,0,1,1,0,0,0,0,0,0,1,0,0
"Old Standard TT, serif",1,0,0,1,0,0,0,0,0,0,0,0,0
"Pacifico, cursive",0,1,0,1,1,1,0,0,0,0,0,1,0
"Monoton, cursive",0,0,0,0,1,0,0,0,0,0,0,0,0
"Open Sans, san serif",1,0,1,1,0,0,0,0,0,0,1,0,0
"Lobster, cursive",0,0,0,1,0,0,0,0,0,0,0,0,0
"Inconsolata",0,0,0,1,1,0,1,0,0,1,0,0,0
"Roboto, san serif",1,0,0,0,0,0,1,0,0,1,0,0,0
"Pacifico, cursive",1,0,0,0,0,0,1,0,0,0,0,0,1
"Lato, san serif",1,0,1,1,0,0,0,1,0,0,1,1,0
"Open Sans, san serif",0,0,0,1,0,0,0,0,0,0,1,0,0
"Pacifico, cursive",1,0,0,0,0,0,0,0,0,0,0,0,0
"Tangerine, cursive",0,0,0,0,0,0,0,1,0,0,0,1,1
"Tangerine, cursive",1,1,1,0,0,0,1,1,1,0,0,1,1
"Inconsolata",0,0,1,0,0,0,0,0,0,0,0,0,0
"Merriweather, serif",0,0,1,1,0,0,0,0,0,0,0,0,0
"Lobster, cursive",1,0,0,0,0,0,0,0,0,1,0,0,0
"Merriweather, serif",0,0,1,1,0,0,0,0,0,1,1,0,0
"Lato, san serif",0,0,0,1,0,0,0,0,0,0,0,0,0
"Pacifico, cursive",0,0,1,1,0,0,0,0,0,0,1,1,0
"Tangerine, cursive",0,0,1,0,1,0,1,0,0,1,0,1,1
"Open Sans, san serif",1,0,0,1,0,0,0,0,0,1,0,0,0
"Merriweather, serif",1,0,1,1,0,0,0,0,0,0,1,0,0
"Tangerine, cursive",1,0,0,1,0,0,0,0,0,0,0,0,0
"Old Standard TT, serif",1,0,1,1,0,0,0,0,0,0,1,0,0
"Monoton, cursive",1,0,0,1,1,0,1,0,0,1,0,0,0
"Merriweather, serif",0,0,1,0,0,0,0,1,0,1,0,0,0
"Old Standard TT, serif",0,0,1,1,1,0,0,0,0,0,1,1,0
"Monoton, cursive",0,0,0,0,1,0,0,0,0,0,0,0,0
"Old Standard TT, serif",0,0,1,0,0,0,0,0,0,0,0,0,0
"Tangerine, cursive",0,0,0,1,0,0,0,1,0,0,0,1,1
"Roboto, san serif",1,0,0,0,0,0,0,0,0,0,0,0,0
"Monoton, cursive",0,0,0,0,0,0,0,0,0,1,0,0,0
"Monoton, cursive",0,1,0,0,0,0,1,0,0,0,0,0,0
"Merriweather, serif",0,0,0,0,1,0,0,0,0,0,0,0,0
"Merriweather, serif",0,0,1,1,0,0,0,0,0,0,0,0,0
"Inconsolata",0,0,1,0,0,0,0,0,0,0,0,0,0
"Lobster, cursive",0,0,0,0,0,0,0,0,1,0,0,1,1
"Inconsolata",1,0,1,0,0,0,0,0,0,0,1,0,0
"Open Sans, san serif",0,0,0,1,0,0,0,0,0,0,1,1,0
"Monoton, cursive",0,1,0,0,0,0,1,0,0,1,0,0,0
"Pacifico, cursive",0,0,0,0,0,0,0,0,0,1,0,0,0
"Waiting for the Sunrise, cursive",1,0,0,1,0,0,0,0,0,0,1,0,0
"Inconsolata",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lobster, cursive",0,0,0,1,0,1,0,0,0,0,0,0,0
"Merriweather, serif",0,0,0,1,0,0,0,0,0,0,0,0,0
"Roboto, san serif",0,0,0,0,0,0,0,0,0,1,0,0,0
"Tangerine, cursive",0,0,0,0,0,0,0,0,0,0,1,0,0
"Roboto, san serif",0,1,0,1,1,0,0,0,0,0,0,0,0
"Lobster, cursive",0,1,0,0,0,0,1,1,0,0,0,0,1
"Tangerine, cursive",0,0,0,0,0,0,0,0,0,0,0,0,1
"Merriweather, serif",0,0,0,0,0,0,1,0,0,0,0,0,0
"Waiting for the Sunrise, cursive",0,0,0,0,1,1,0,0,0,1,1,0,0
