Color,casual,chic,classic,clear,cool casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic
"Dropbox Blue",12.0000,7.4074,6.6667,13.0435,9.8592,0.0000,2.7778,7.3171,14.2857,8.6957,11.6279,9.5238,4.0000
"Tumblr Dark Turquoise",10.0000,0.0000,11.1111,4.3478,9.8592,0.0000,2.7778,12.1951,7.1429,4.3478,4.6512,2.3810,4.0000
"Foursquare Logo Blue",10.0000,3.7037,11.1111,4.3478,9.8592,0.0000,2.7778,2.4390,0.0000,2.8986,4.6512,2.3810,8.0000
"Twitter Blue",2.0000,7.4074,4.4444,15.2174,8.4507,0.0000,8.3333,9.7561,7.1429,8.6957,9.3023,9.5238,8.0000
"YouTube Red",4.0000,0.0000,8.8889,6.5217,4.2254,0.0000,13.8889,9.7561,14.2857,7.2464,4.6512,7.1429,20.0000
"Instagram Blue",8.0000,7.4074,8.8889,8.6957,5.6338,20.0000,5.5556,2.4390,0.0000,2.8986,6.9767,4.7619,0.0000
"Pinterest Red",2.0000,14.8148,2.2222,4.3478,0.0000,0.0000,13.8889,12.1951,14.2857,7.2464,2.3256,7.1429,28.0000
"Snapchat Yellow",4.0000,7.4074,2.2222,4.3478,5.6338,60.0000,16.6667,7.3171,0.0000,8.6957,2.3256,4.7619,0.0000
"Flickr Pink",0.0000,18.5185,4.4444,6.5217,2.8169,0.0000,2.7778,2.4390,14.2857,5.7971,0.0000,19.0476,16.0000
"Vimeo Green",12.0000,11.1111,2.2222,6.5217,7.0423,0.0000,5.5556,2.4390,0.0000,8.6957,13.9535,7.1429,0.0000
"Facebook Blue",6.0000,7.4074,6.6667,6.5217,8.4507,0.0000,0.0000,7.3171,0.0000,7.2464,4.6512,0.0000,0.0000
"Google+ Red",0.0000,11.1111,0.0000,0.0000,1.4085,20.0000,11.1111,2.4390,0.0000,8.6957,2.3256,2.3810,8.0000
"Linkedin Blue",8.0000,0.0000,11.1111,8.6957,14.0845,0.0000,0.0000,4.8780,7.1429,7.2464,2.3256,9.5238,0.0000
"Quora Burgundy",0.0000,0.0000,2.2222,0.0000,1.4085,0.0000,8.3333,7.3171,7.1429,2.8986,2.3256,2.3810,4.0000
"Vine Green",8.0000,0.0000,6.6667,2.1739,2.8169,0.0000,0.0000,7.3171,7.1429,2.8986,9.3023,7.1429,0.0000
"WhatsApp Green",10.0000,0.0000,4.4444,8.6957,4.2254,0.0000,2.7778,0.0000,0.0000,1.4493,13.9535,4.7619,0.0000
"VK Blue",4.0000,3.7037,6.6667,0.0000,4.2254,0.0000,2.7778,2.4390,7.1429,4.3478,4.6512,0.0000,0.0000
