Font,casual,chic,classic,clear,cool casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic
"Old Standard TT, serif",8.6957,9.0909,15.0000,13.1313,6.2500,0.0000,4.7619,18.1818,0.0000,9.2593,13.6364,7.5000,8.3333
"Merriweather, serif",5.7971,9.0909,13.3333,11.1111,4.1667,0.0000,4.7619,6.0606,0.0000,11.1111,13.6364,0.0000,0.0000
"Open Sans, san serif",13.0435,0.0000,13.3333,14.1414,8.3333,0.0000,14.2857,3.0303,0.0000,11.1111,18.1818,5.0000,0.0000
"Lato, san serif",11.5942,4.5455,11.6667,13.1313,8.3333,0.0000,0.0000,9.0909,0.0000,9.2593,11.3636,2.5000,0.0000
"Roboto, san serif",14.4928,18.1818,6.6667,6.0606,6.2500,12.5000,4.7619,0.0000,0.0000,11.1111,2.2727,5.0000,0.0000
"Pacifico, cursive",8.6957,18.1818,5.0000,6.0606,6.2500,25.0000,4.7619,0.0000,0.0000,9.2593,6.8182,27.5000,29.1667
"Tangerine, cursive",5.7971,13.6364,8.3333,6.0606,8.3333,0.0000,9.5238,24.2424,55.5556,3.7037,4.5455,27.5000,45.8333
"Waiting for the Sunrise, cursive",14.4928,0.0000,1.6667,5.0505,16.6667,12.5000,4.7619,3.0303,0.0000,5.5556,13.6364,0.0000,0.0000
"Inconsolata",11.5942,0.0000,16.6667,14.1414,8.3333,0.0000,4.7619,6.0606,11.1111,11.1111,9.0909,0.0000,0.0000
"Lobster, cursive",2.8986,13.6364,5.0000,9.0909,12.5000,25.0000,14.2857,27.2727,33.3333,9.2593,2.2727,25.0000,16.6667
"Monoton, cursive",2.8986,13.6364,3.3333,2.0202,14.5833,25.0000,33.3333,3.0303,0.0000,9.2593,4.5455,0.0000,0.0000
